MFSTKEY             ,STATUS,LASTUPDATE    ,MFSTNUMBER,POWERUNIT ,STOP  ,MFSTDATE,PRONUMBER ,PRODATE ,SHIPNAME                      ,CONSNAME                      ,CONSADD1                      ,CONSADD2                      ,CONSCITY            ,CONSSTATE,CONSZIP,TTLPCS,TTLYDS,TTLWGT,DLVDDATE,DLVDTIME,DLVDPCS,DLVDSIGN                                ,DLVDNOTE                      ,DLVDIMGFILELOCN               ,DLVDIMGFILESIGN               
--------------------,------,--------------,----------,----------,------,--------,----------,--------,------------------------------,------------------------------,------------------------------,------------------------------,--------------------,---------,-------,------,------,------,--------,--------,-------,----------------------------------------,------------------------------,------------------------------,------------------------------
045X021624001       ,0,20240201123000,045X021624,045       ,1,02162024,41750686  ,02152024,DOOLITTLE CARPET & PAINT      ,MOHAWK WHSE/MENDOTA HEIGHTS   ,2359 WATERS DRIVE             ,                              ,MENDOTA HEIGHTS     ,MN       ,55120  ,1,93,0,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
045X021624002       ,0,20240201123000,045X021624,045       ,2,02162024,68981488  ,02092024,MARQUIS INDUSTRIES/BILLING    ,TORBORG BUILDERS              ,396 33RD AVE S                ,                              ,WAITE PARK          ,MN       ,56387  ,5,1028,4382,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624001       ,0,20240201123000,047X021624,047       ,1,02162024,68815116  ,02092024,SYNTHETIC TURF RESOURCES/WHSE ,LEMONT PARK DISTRICT          ,16028 W 127TH ST              ,                              ,LEMONT              ,IL       ,60439  ,2,91,477,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624002       ,0,20240201123000,047X021624,047       ,2,02162024,13881281  ,02132024,ENGINEERED FLOORS             ,CARPET FAIR INC               ,DBA FLOORING AMERICA          ,2250 W SIBLEY BLVD            ,POSEN               ,IL       ,60469  ,1,55,312,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624003       ,0,20240201123000,047X021624,047       ,3,02162024,13951450  ,02142024,ENGINEERED FLOORS             ,CARPET FAIR INC               ,DBA FLOORING AMERICA          ,2250 W SIBLEY BLVD            ,POSEN               ,IL       ,60469  ,1,105,634,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624004       ,0,20240201123000,047X021624,047       ,4,02162024,68887891  ,02082024,MATHEWS & PARLO/BILLING ACCT  ,DESIGNS BY NICOLETTE          ,10800 CENTRAL AVE             ,                              ,CHICAGO RIDGE       ,IL       ,60415  ,3,80,321,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624005       ,0,20240201123000,047X021624,047       ,5,02162024,13790246  ,02132024,ENGINEERED FLOORS             ,S & M FLOORING                ,DBA ROYAL HOME FLOORING       ,7509 WEST 85TH STREET         ,BRIDGEVIEW          ,IL       ,60455  ,2,196,1092,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624006       ,0,20240201123000,047X021624,047       ,6,02162024,13934832  ,02122024,MILLIKEN/BRAUNS DOCK          ,BEYE ELE SCHOOL               ,230 N CUYLER AVE              ,                              ,OAK PARK            ,IL       ,60302  ,1,19,66,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624007       ,0,20240201123000,047X021624,047       ,7,02162024,13934833  ,02122024,MILLIKEN/BRAUNS DOCK          ,HOMES ELEM SCHOOL             ,508 N KENILWORH AVE           ,                              ,OAK PARK            ,IL       ,60302  ,1,19,66,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624008       ,0,20240201123000,047X021624,047       ,8,02162024,68655801  ,02122024,HAGAMAN CARPET/NOURISON       ,EAGLE CARPET SERVICES LTD     ,135 S FAIRBANK STREET         ,                              ,ADDISON             ,IL       ,60101  ,1,17,75,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
047X021624009       ,0,20240201123000,047X021624,047       ,9,02162024,68086320  ,02132024,PATRIOT MILLS/MANASSAS TEXTILE,EAGLE CARPET SERVICES LTD     ,135 S FAIRBANK STREET         ,                              ,ADDISON             ,IL       ,60101  ,1,51,202,NULL    ,NULL    ,   NULL,NULL                                    ,NULL                          ,NULL                          ,NULL                          
